# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     49.84     -39.17       3.15       0.60       0.00       0.00       0.71       0.65    3.850          './gold_soln_AV-procd_m97_1.sdf'    'AV-unprocessed.smi:16'
     49.77     -41.07       2.41       0.88       0.00       0.00       0.99       0.68    4.036          './gold_soln_AV-procd_m98_1.sdf'    'AV-unprocessed.smi:16'
     51.68     -47.18       2.96       0.00       0.00       0.00       2.48       0.59   16.381          './gold_soln_AV-procd_m99_7.sdf'    'AV-unprocessed.smi:17'
     45.43     -39.27       2.00       0.79       0.00       0.00       1.40       0.58   16.444         './gold_soln_AV-procd_m100_5.sdf'    'AV-unprocessed.smi:17'
     51.10     -42.06       3.61       0.00       0.00       0.00       1.23       0.67   16.813        './gold_soln_AV-procd_m101_10.sdf'    'AV-unprocessed.smi:17'
     46.79     -40.33       2.12       0.93       0.00       0.00       1.67       0.65   16.767        './gold_soln_AV-procd_m102_10.sdf'    'AV-unprocessed.smi:17'
     52.56     -43.60       3.49       0.00       0.00       0.00       1.57       1.57   16.497         './gold_soln_AV-procd_m103_8.sdf'    'AV-unprocessed.smi:17'
     55.23     -49.03       2.93       0.00       0.00       0.01       1.93       1.19   16.851         './gold_soln_AV-procd_m104_4.sdf'    'AV-unprocessed.smi:17'
     48.63     -41.87       3.18       0.85       0.00       0.24       3.10       1.12   16.661         './gold_soln_AV-procd_m105_7.sdf'    'AV-unprocessed.smi:17'
     54.54     -49.01       2.90       0.00       0.00       0.00       2.27       1.38   16.774         './gold_soln_AV-procd_m106_3.sdf'    'AV-unprocessed.smi:17'
     49.24     -42.77       2.99       0.00       0.00       0.03       1.51       0.54   11.885         './gold_soln_AV-procd_m107_7.sdf'    'AV-unprocessed.smi:18'
     48.43     -43.98       2.00       0.00       0.00       0.00       1.05       0.56   12.051        './gold_soln_AV-procd_m108_10.sdf'    'AV-unprocessed.smi:18'
     54.67     -43.33       3.95       0.56       0.00       0.00       1.32       0.45   12.884         './gold_soln_AV-procd_m109_7.sdf'    'AV-unprocessed.smi:19'
     53.91     -43.67       3.84       0.00       0.00       0.00       0.86       0.36   13.302         './gold_soln_AV-procd_m110_3.sdf'    'AV-unprocessed.smi:19'
     55.13     -45.95       3.33       0.05       0.00       0.00       0.66       0.33   10.482         './gold_soln_AV-procd_m111_7.sdf'    'AV-unprocessed.smi:19'
     52.18     -47.17       2.00       0.00       0.00       0.00       0.66       0.33   13.002         './gold_soln_AV-procd_m112_4.sdf'    'AV-unprocessed.smi:19'
     51.46     -44.71       2.70       0.00       0.00       0.00       0.89       0.43   11.835         './gold_soln_AV-procd_m113_8.sdf'    'AV-unprocessed.smi:20'
     56.37     -47.46       2.65       0.63       0.00       0.00       0.75       0.56   11.696         './gold_soln_AV-procd_m114_4.sdf'    'AV-unprocessed.smi:20'
     55.36     -50.70       1.00       1.00       0.00       0.01       0.82       0.31   11.806         './gold_soln_AV-procd_m115_4.sdf'    'AV-unprocessed.smi:20'
     50.81     -40.74       3.71       0.47       0.00       0.00       1.50       0.52   11.650         './gold_soln_AV-procd_m116_4.sdf'    'AV-unprocessed.smi:20'
     54.38     -49.27       0.99       1.00       0.00       0.00       0.64       0.41   11.569         './gold_soln_AV-procd_m117_9.sdf'    'AV-unprocessed.smi:20'
     57.98     -52.47       2.00       0.70       0.00       0.00       1.49       0.40   11.574         './gold_soln_AV-procd_m118_9.sdf'    'AV-unprocessed.smi:20'
     50.09     -48.60       1.00       0.00       0.00       0.01       1.00       0.48   11.872         './gold_soln_AV-procd_m119_6.sdf'    'AV-unprocessed.smi:20'
     49.68     -43.40       1.89       0.57       0.00       0.00       0.79       0.47   11.784         './gold_soln_AV-procd_m120_3.sdf'    'AV-unprocessed.smi:20'
     56.41     -46.54       4.16       0.00       0.00       0.00       1.71       0.79   16.611         './gold_soln_AV-procd_m121_2.sdf'    'AV-unprocessed.smi:21'
     55.09     -45.51       3.59       0.00       0.00       0.00       0.99       0.60   16.085         './gold_soln_AV-procd_m122_2.sdf'    'AV-unprocessed.smi:21'
     52.34     -44.40       2.89       0.00       0.00       0.00       0.79       0.37   16.136         './gold_soln_AV-procd_m123_2.sdf'    'AV-unprocessed.smi:21'
     52.66     -43.92       3.90       0.00       0.00       0.00       2.23       0.98    6.578         './gold_soln_AV-procd_m124_1.sdf'    'AV-unprocessed.smi:21'
     50.57     -49.89       1.00       0.00       0.00       0.00       1.69       0.78   16.434         './gold_soln_AV-procd_m125_7.sdf'    'AV-unprocessed.smi:21'
     58.01     -47.53       3.15       1.00       0.00       0.00       1.43       0.71   16.004         './gold_soln_AV-procd_m126_3.sdf'    'AV-unprocessed.smi:21'
     55.04     -46.86       3.74       0.00       0.00       0.00       2.19       0.65   16.173         './gold_soln_AV-procd_m127_1.sdf'    'AV-unprocessed.smi:21'
